Ion;Extraction;ET;Mols;Strain;Diet;Sex;Age;Age.Cohort;HMDB05843;HMDB11749;HMDB12815;HMDB00718;HMDB00092;HMDB00008;HMDB00187;HMDB01858;HMDB03905;HMDB03156;HMDB04230;HMDB00870;HMDB00444;HMDB00300;HMDB01164;HMDB00562;HMDB00076;HMDB00453;HMDB00323;HMDB00162;HMDB00134;HMDB00019;HMDB00535;HMDB12249;HMDB00883;HMDB00202;HMDB00407;HMDB00167;HMDB01527;HMDB04072;HMDB01406;HMDB01488;HMDB03903;HMDB01084;HMDB00079;HMDB00267;HMDB00070;HMDB00666;HMDB00725;HMDB00064;HMDB00687;HMDB00622;HMDB00168;HMDB00317;HMDB00191;HMDB00156;HMDB03224;HMDB00034;HMDB12128;HMDB11659;HMDB04989;HMDB12153;HMDB00224;HMDB03431;HMDB06331;HMDB00392;HMDB00894;HMDB00393;HMDB01988;HMDB00482;HMDB02284;HMDB01552;HMDB01263;HMDB06831;HMDB00208;HMDB01218;HMDB00641;HMDB00182;HMDB06779;HMDB00148;HMDB00694;HMDB00227;HMDB00696;HMDB00956;HMDB00283;HMDB04487;HMDB01859;HMDB00292;HMDB00020;HMDB03667;HMDB01476;HMDB13253;HMDB12251;HMDB00177;HMDB02320;HMDB04362;HMDB01241;HMDB00959;HMDB00462;HMDB12241;HMDB10721;HMDB00798;HMDB00339;HMDB00991;HMDB00225;HMDB02820;HMDB00555;HMDB03459;HMDB00486;HMDB02038;HMDB04077;HMDB00321;HMDB01424;HMDB00205;HMDB00174;HMDB12246;HMDB02005;HMDB00159;HMDB02334;HMDB00375;HMDB06462;HMDB03584;HMDB01545;HMDB00263;HMDB00289;HMDB00001;HMDB04980;HMDB00341;HMDB00721;HMDB00511;HMDB06488;HMDB00701;HMDB01264;HMDB12149;HMDB06028;HMDB00893;HMDB03357;HMDB00812;HMDB02201;HMDB00904;HMDB06355;HMDB00259;HMDB02043;HMDB01240;HMDB00122;HMDB00158;HMDB00247;HMDB01565;HMDB00272;HMDB06348;HMDB10724;HMDB02373;HMDB12150;HMDB01276;HMDB11635;HMDB06029;HMDB11717;HMDB00206;HMDB04823;HMDB00590;HMDB12710;HMDB11165;HMDB11745;HMDB01896;HMDB00094;HMDB00127;HMDB00954;HMDB00565;HMDB03966;HMDB04998;HMDB10729;HMDB00704;HMDB06406;HMDB00603;HMDB00638;HMDB00731;HMDB00832;HMDB00107;HMDB00792;HMDB00201;HMDB11667;HMDB04231;HMDB01451;HMDB01925;HMDB00860;HMDB02203;HMDB11714;HMDB00682;HMDB03581;HMDB10727;HMDB00910;HMDB06802;HMDB00114;HMDB13279;HMDB00888;HMDB00387;HMDB00856;HMDB00824;HMDB11150;HMDB01300;HMDB03764;HMDB00350;HMDB00212;HMDB00099;HMDB10325;HMDB00560;HMDB00033;HMDB00499;HMDB01228;HMDB00933;HMDB11175;HMDB13267;HMDB00618;HMDB03219;HMDB02335;HMDB01434;HMDB12161;HMDB01974;HMDB13125;HMDB11725;HMDB00038;HMDB00194;HMDB10730;HMDB00826;HMDB02366;HMDB13286;HMDB00296;HMDB02327;HMDB01931;HMDB01526;HMDB02012;HMDB00736;HMDB04086;HMDB04195;HMDB12273;HMDB00220;HMDB00086;HMDB13161;HMDB00124;HMDB11171;HMDB01551;HMDB00497;HMDB00050;HMDB04081;HMDB10733;HMDB10734;HMDB13238;HMDB01388;HMDB00673;HMDB01358;HMDB00827;HMDB01068;HMDB11685;HMDB01852;HMDB01062;HMDB01067;HMDB01043;HMDB04269;HMDB00125;HMDB05060;HMDB00031;HMDB00553;HMDB01016;HMDB02156;HMDB05045;HMDB00095;HMDB12252;HMDB12799;HMDB02088;HMDB05023;HMDB02183;HMDB02121;HMDB06528;HMDB02226;HMDB02884;HMDB00944;HMDB06591;HMDB01922;HMDB00045;HMDB04080;HMDB11681;HMDB00353;HMDB03601;HMDB11539;HMDB02685;HMDB02007;HMDB06273;HMDB00037;HMDB11153;HMDB01439;HMDB00949;HMDB02368;HMDB03180;HMDB02886;HMDB00418;HMDB02304;HMDB03572;HMDB02082;HMDB11575;HMDB00912;HMDB11543;HMDB00280;HMDB01984;HMDB00447;HMDB12575;HMDB05022;HMDB03556;HMDB01341;HMDB10334;HMDB00416;HMDB03474;HMDB07852;HMDB11152;HMDB11589;HMDB11118;HMDB06898;HMDB00513;HMDB10321;HMDB01396;HMDB06321;HMDB00036;HMDB04135;HMDB06455;HMDB11496;HMDB10386;HMDB10385;HMDB07010;HMDB00548;HMDB11762;HMDB00286;HMDB11499;HMDB10400;HMDB05774;HMDB01898;HMDB07021;HMDB12146;HMDB10361;HMDB07033;HMDB07217;HMDB04953;HMDB02429;HMDB07353;HMDB07121;HMDB00757;HMDB07858;HMDB07266;HMDB07901;HMDB07868;HMDB12085;HMDB08835;HMDB07941;HMDB07940;HMDB07938;HMDB09347;HMDB08946;HMDB07949;HMDB10580;HMDB07889;HMDB01248;HMDB10602;HMDB07991;HMDB04975;HMDB08457;HMDB01275;HMDB10611;HMDB07989;HMDB06502;HMDB12107;HMDB10166;HMDB10166;HMDB12316;HMDB05370;HMDB09821;HMDB04047;HMDB09929;HMDB09999
86;NH24;1498;146.5;BXD102;HF;F;541;3;1744;1893;1917;10357;74534;35820;24305;10095;16033;2363;14131;12428;15444;46187;7044;25170;14603;3629;976;107756;102895;7700;17683;5382;192871;456564;7754;44522;5503;10508;23351;7026;80251;4825;165539;271561;3748;5998;10018;6062;495834;26914;23114;5614;69237;313667;2784;1110025;1152;2257;2286;8538;22436;629;170048;7426;12947;49295;7151;12644;1309;1290;29231;1654;16624;2050;1328151;292815;59399;245210;62589;12295;12178;12284;13742;3868;6025;261763;14187;4733;8897;1832;11369;377789;8761;8243;2262;6947;15433;4617;9955;20922;20722;848;6729;2237;7632;4016;4797;1383;6064;111568;3281;11444;15627;1178;10871;160613;22438;9692;385527;39673;5184;1616;143460;5270;6920;11011;11773;20667;3925;20290;16204;8131;7537;19938;7896;7166;1732;11957;2336535;4073;4547;1688;398797;120549;46914;4350;63345;7603;6905;9101;1417;1977;31156;45265;51982;23804;19271;45412;18994;3837;5430;852;82768;7865;2740;457747;3480;3694;11393;2310;2924;9967;211826;969;1926;5222;13381;10246;12314;3032;4156;5048;14515;8731;4129;11659;4045;5901;48325;2414;282288;1401;8363;4149;7634;3108;838;105848;18381;9862;16864;14857;36410;4335;3921;76026;5330;11045;6700;1293;62267;5039;6912;1889;5376;2540;2012;22624;5507;3662;5231;152010;2794;9468;170543;7144;4761;10126;2836;4235;6167;8610;3120;2051773;19889;2658;294548;9315;1333;2999;20475;17135;33854;27050;1477;38732;355535;8512;1721016;70410;7759;4547;19322;4244;80680;4527;1596979;11124;3357;23733;25262;735;4252;16201;385;2042;659;4587;32011;3353;7009;4497;2823;8855;1995;2761;492602;606;105084;2796;2367;1860;3158;1444;16992;2869;977;5196;8910;2559;5412;6999;13738;649;96696;6109;1090;5722;3419;2938;1534;2295;2981;2043;6566;82944;2709;3344;2820;5830;1767;2221;1779;1955;2214;2177;5581;1222;16788876;3622;668;4920;8853;6563;2134;793;761;91798;3497;694;2510;1988;631;1173;2223;2044;7062;1880;2293;3600;3257;46611;7156;1213;1529;1089;1325;30892;62831;159567;51075;17664;385878;417387;7966;11393;2800;42021;13499;2759;4051;1955;31406;34187;8058;3303;18954;18954;2379;2849;7523;2611;5390;3725
87;NH24;1254;184;C57BL/6J;HF;M;363;2;2054;1192;1866;8502;59871;29468;18193;6795;20356;819;13918;11408;15241;46413;3124;30574;12592;2332;964;66450;133678;7336;8635;4449;133017;372625;16678;27266;5989;7902;17846;6976;86866;4995;201902;276414;3843;3900;6980;7000;370804;22305;15819;5494;44299;129816;2981;533224;422;1590;1300;10294;16326;520;165974;4136;4928;53540;4385;11070;979;1444;22547;1005;11164;1813;1682724;132435;58285;211955;44663;13656;10469;2965;12923;2510;5940;222865;11885;2502;7714;1420;11462;329953;24328;4219;1836;4154;19508;4206;8366;19602;12351;805;5576;2058;6501;2734;3937;1571;5515;145194;3007;9427;14190;1213;3262;125129;20930;6387;268592;26021;6131;2244;27816;4827;4033;8632;11864;17460;1680;11623;13054;3389;4595;17496;4864;8522;1197;7164;4971053;8550;3897;1552;334160;70736;38169;2525;53436;1595;5745;5397;1558;1042;21514;63201;39696;10885;12845;63951;42015;4073;3997;736;57212;8187;1941;391999;3111;2988;5228;1394;1437;5559;118447;691;2400;3676;21576;10306;9905;2649;3498;2392;4434;7302;3302;8145;2160;5012;18767;1611;201073;1817;8777;4042;3419;1172;920;70594;20990;5288;6765;17517;76111;4162;1760;32264;6267;5660;3800;3247;38155;2881;4129;1833;4256;1655;975;26698;5292;3553;5057;137116;1514;21093;172967;10440;2095;4650;1500;3659;1514;5058;4072;4342844;19784;2409;196732;8134;4498;2487;11418;24970;21191;15378;1001;130158;2504286;4361;1926294;51484;2318;5379;10557;2757;708073;3589;3530388;83645;39189;27389;19682;1829;7721;18727;500;1916;847;3343;751343;3213;129824;92396;6384;8494;1610;11190;232231;793;49970;3579;1303;1962;3398;16614;15779;2532;1330;4670;23478;3702;10158;6470;22098;2097;1425631;6786;2201;3870;3436;2623;8967;2711;1320;1447;3096;58018;2947;4033;2561;7406;4691;2102;3622;1893;4287;2510;1344;1612;8382243;1955;572;28142;11675;11793;2186;718;1291;34648;1897;745;2239;1834;667;1894;2109;6849;98799;9740;1309;3152;53982;64884;15580;4308;3075;1728;1642;56356;202215;441041;184552;82482;1262854;2314685;66908;46695;2998;114286;36836;3158;8080;3295;96192;125933;6566;4709;38295;38295;4059;2859;18261;1867;6425;4219
88;NH24;1254;184;C57BL/6J;HF;M;363;2;1870;1398;2019;8027;59696;28681;17618;7794;20461;1321;13119;10735;15889;46709;3608;32034;12676;2132;715;70319;135198;9159;8785;5035;133254;388185;18528;29121;5067;7793;20536;7004;87222;5099;202814;276092;3610;4167;7537;6567;372431;21649;16584;6303;45187;137461;3078;533701;400;1769;1007;10731;17761;641;161386;3925;5256;57222;4413;10708;909;1362;22640;1159;11415;2080;1731059;134164;58693;219891;44195;14920;9828;3206;14064;3303;6205;223631;12680;2447;7800;898;10776;341515;25040;4343;1865;4444;20179;4160;7728;20774;12671;1027;6037;2554;6363;2618;4059;2003;5671;148349;3441;8878;15207;1329;3737;130849;21149;7093;269839;25166;6154;2447;25664;5339;3619;8288;11918;17349;1305;11524;14047;3437;4427;16936;4549;9651;1472;8171;4953606;9100;4166;1812;339694;74465;39522;2907;60538;1538;5027;6064;1727;1660;20806;63758;41206;10936;13235;67230;42646;4579;4157;741;61233;8387;2175;401485;2731;3228;5961;1621;1673;5989;117347;777;2210;3759;21540;10155;9357;2372;3186;2273;4290;6819;3505;8625;2272;5081;19383;1906;204612;1837;8490;4222;3674;1377;877;69585;21565;4974;6957;17405;76564;4733;1910;32610;6813;5416;3839;3176;39109;3341;3834;1310;4161;1743;1238;27492;5678;3511;4464;146008;1627;21880;173326;10475;1837;5475;1721;3783;5539;5609;4654;4353843;21146;1818;204399;7832;5113;2314;11602;27075;22091;15083;760;129871;2500340;4670;1960245;54623;2698;5926;10314;2782;728086;3385;3597150;83615;39144;28186;17082;2208;6927;20079;667;1948;712;3032;763788;3431;128801;97534;6480;9214;1118;11982;240738;788;49589;3860;1475;1444;3192;17206;16058;2995;1128;5514;23660;3635;9387;6715;23879;2350;1479471;7448;2350;4771;3772;2555;8644;2637;1688;1454;3261;60221;3354;4377;2736;6843;4972;2581;3565;2281;4965;2206;1392;1736;8484881;2219;654;28036;11134;11278;2396;770;1398;33547;2090;962;1894;1912;997;2089;2225;7384;104756;9046;1562;2557;56755;66699;16406;5157;3112;1696;1825;56030;203911;446635;190004;85158;1261507;2314850;66790;47377;3358;115355;36988;3480;8455;2654;100019;132292;6901;4861;40680;40680;4393;2991;19001;1771;6830;5009
89;NH24;1710;70.8;BXD65b;CD;F;207;1;21823;1979;1860;11713;80523;42259;23380;7098;12760;1610;14088;8226;15424;57978;6103;29116;18870;2876;1420;79431;63494;11626;14473;5285;180284;221394;5945;37414;5484;11879;52284;6995;61579;5276;121872;238339;5552;6915;7351;7659;558887;22490;23718;5292;54301;208073;3019;532167;509;2297;1274;10748;17940;720;200258;5528;10252;64178;7110;17343;2174;1525;24436;4179;5912;2524;998217;184068;68912;276373;25207;11294;16064;3315;18719;4848;6837;576700;31807;3849;11005;1621;13749;252063;6497;6140;3280;6179;15022;3994;17552;36723;11525;1600;6230;2195;8207;7402;5581;2131;6630;134676;5261;13450;26192;1230;19643;169701;38130;7203;113317;19440;5597;2316;180018;5259;6720;8312;14770;30756;2700;20192;17546;4195;8872;24123;16511;4528;2137;7411;1300225;3800;4433;1715;499638;118232;66359;3547;87753;4679;6945;8054;1713;1685;4043;47370;62657;25546;7461;34651;16038;3840;4924;1373;71894;9370;2929;391662;6116;3298;5672;2037;2771;8908;238432;789;3251;4986;19480;10410;7456;3212;3368;4048;15436;5522;3791;16740;5033;5850;28745;2485;181181;1965;8784;5060;24972;2161;1185;142527;16233;7764;9212;15667;52125;4593;4485;40334;5164;7401;11220;3202;76653;2996;6334;7022;5900;2088;1380;23688;6726;3245;6142;196491;2477;14519;212995;6830;4178;10820;2307;4098;5532;13273;2818;2174491;13946;1928;172197;9448;1770;3887;11808;59727;33720;18052;902;176044;1201103;4091;1785116;32162;3534;10043;16676;3662;185787;5449;3273858;18309;3632;27155;18039;828;6418;29225;504;1917;658;3864;116404;2848;18192;11149;3000;10687;1767;2622;1772651;1140;103068;3844;1582;1884;4134;2521;14737;3923;643;8650;12045;2788;4836;8395;25656;737;71928;6922;919;8410;3332;3292;1791;2672;2183;1755;8783;31120;5618;2340;3297;3958;1718;2193;1368;2245;1529;1950;3658;1111;9707351;2092;492;6201;7826;4432;2197;558;410;91377;1648;344;1734;1971;409;908;1714;2265;8834;998;975;1875;4873;82341;2610;2216;781;650;1655;15169;26066;77429;22290;6497;110238;167492;4974;7121;2609;42402;8635;2035;3143;1561;24880;26889;7352;2726;18919;18919;2143;2134;5530;1734;4681;2772
90;NH24;1710;70.8;BXD65b;CD;F;207;1;22256;1795;2084;10217;78939;42024;24809;6880;12832;1931;14297;7643;14978;57290;5313;29093;18764;2762;1276;78238;65271;12055;13543;5754;177612;212598;6334;35840;6274;11848;54016;7425;62811;5499;123246;236662;5676;6730;7705;7511;555467;22400;22516;5825;54314;204739;2869;536642;552;2088;1134;10467;19196;662;200155;6409;9620;63536;7197;15247;1778;2025;23845;4511;6451;2216;997602;183996;67905;284467;26521;11517;14808;3271;17935;4249;6629;580949;31925;4115;11492;1789;13752;249449;5991;6053;2910;6636;14230;4064;17596;34226;11104;1523;7796;2071;7886;7524;4202;1909;7640;132406;4569;12951;25259;1048;18515;169287;37537;6132;113476;20320;5036;2254;180882;4899;7596;9307;16080;31030;2489;20875;16735;3650;8345;23959;16615;4400;1962;7815;1255852;3858;4283;1841;502399;113346;69775;3440;84156;5174;8503;7928;2031;1789;4347;46098;63642;26889;6187;32328;14114;4541;5152;1304;75086;10751;3181;395020;5817;3603;6284;1917;2966;8818;231469;721;3230;3794;19287;10371;7433;3850;3595;3753;14768;6938;3633;15926;4797;6529;28790;2590;185571;2412;8345;4355;26486;2649;1000;129613;16470;7731;10740;16187;50767;4253;4062;39387;4993;7881;10805;2955;77213;3445;6548;7728;6494;1837;1637;22545;7347;3865;5816;187214;1981;14359;210757;7774;4571;11125;2009;3764;5514;13129;2395;2000580;13346;2086;173248;9271;1592;3408;10008;59680;32534;17007;1049;165111;1061776;3382;1722039;30676;3312;8818;16781;2935;158161;4636;3324775;14897;3233;27583;18005;743;6392;30010;414;2131;626;3502;99006;3344;16217;9450;2738;10212;2318;2443;1816145;1116;100325;3887;1872;2050;3821;2010;14071;3443;1108;9966;11717;2754;4230;8643;24853;614;70372;6617;1019;8319;2918;3252;1859;2272;2069;1426;7831;30799;5517;2488;3166;3838;1762;2414;1841;1859;1481;1801;4233;794;9841847;2224;634;5023;7701;4858;1957;538;447;93251;1730;565;1569;1431;464;961;1538;2106;6038;1078;1436;2033;4269;82699;2387;2019;741;661;1449;14555;25690;74308;18827;5596;98971;148016;3918;6384;2862;37807;7746;2155;2690;1472;23286;22799;6904;2180;16321;16321;2171;2003;4708;1970;3830;2725
91;NH24;1447;123.5;BXD73;HF;F;524;3;2103;1244;1781;11929;31970;13314;13746;6935;6727;1916;7537;4912;13195;22258;7271;33613;7327;3073;1223;60158;31668;9655;10198;2925;95373;170986;3043;12874;7205;7113;26167;7215;46456;5138;46018;136542;3007;4914;3517;3708;232492;15704;6669;2514;25563;215396;2400;534975;457;1867;2251;9239;18081;753;265702;6230;6062;38325;8380;12362;845;921;7097;1358;6485;1879;308869;111614;86965;70411;33855;4896;7562;2913;7604;5364;8383;73639;7469;3550;5524;1133;4285;116338;2469;6672;1207;2989;5779;4766;10907;22356;5147;558;7471;2330;8008;2104;3712;2176;5480;65732;2481;19778;12595;1245;38157;65513;39398;3994;30072;7228;3655;1577;36054;2507;3510;5440;4456;16902;1624;3641;5102;14216;2641;15883;3541;2281;1402;6233;68539;2013;4873;1956;166728;42840;38874;3831;31686;1069;5304;6460;1282;1215;2862;8800;34244;6634;1963;7410;9549;1755;1930;629;49067;2564;1695;77875;3226;2717;4944;1157;831;7532;161859;600;1112;4634;10495;2909;10848;3106;1885;6356;8281;5468;2636;3404;1918;5426;22650;1355;84105;1012;5927;2811;2067;1528;545;106163;5857;6111;4124;6827;15906;2860;1690;29889;2105;6071;2309;996;15064;3595;2474;1041;2618;770;860;27406;4930;1832;4470;167708;1265;6406;50951;4561;3152;4155;1892;3320;1413;3848;2585;2098640;6435;1504;42879;4226;1108;2054;9606;3605;18383;12558;896;47282;409184;3682;1977691;15353;1831;3750;4720;1717;73234;2859;150658;10634;2221;25709;5368;598;3587;6678;506;983;566;1577;34844;1880;6088;5183;2680;10498;1109;1703;219549;396;29859;1687;1103;1006;1714;1104;4631;2206;655;2005;2917;3056;3334;3156;9393;484;17655;5101;788;2047;3246;2732;707;1522;918;1029;1671;19122;1203;2124;3235;1807;1256;2625;758;3007;1962;1402;1124;577;2504591;910;574;2544;3792;3152;2140;496;418;12941;1231;382;1109;888;269;374;903;724;10692;744;1111;1589;3140;24810;2047;639;479;535;1419;5839;11934;33691;15600;4478;50005;68814;1521;3080;1035;28365;4213;2692;2641;852;15688;17645;2455;2413;14148;14148;1845;1177;3187;917;3707;1604
92;NH24;1447;123.5;BXD73;HF;F;524;3;1749;1424;1704;11224;56216;25102;24198;10090;9010;3009;9814;7801;16530;36737;9996;30147;10377;5693;2489;84943;50756;9988;19250;3874;132479;289475;5557;23481;6230;10766;41520;7209;64576;5087;89522;236016;4569;6912;5097;6157;362724;21135;12099;4169;62388;331130;2821;969427;989;2511;3218;8825;20301;766;211051;8741;7231;45715;13469;21088;1383;1364;9264;2306;13128;2091;653551;117235;72976;164037;52668;8177;10050;3782;10066;6062;9030;201018;14886;6604;8627;1627;4958;214996;3521;10315;2455;4932;11734;6589;14540;32791;6722;625;7644;2059;10593;2825;4438;1884;6981;97237;3110;17964;14535;1039;109393;114536;35929;7660;59790;16290;5319;2123;98067;4003;7106;9578;7191;28624;1885;5481;10232;27538;4166;25076;6087;3794;1810;11191;112540;2463;7309;1760;321047;73906;50221;5526;66123;1781;8179;9808;1716;1694;8127;16556;64286;12258;3537;11912;18536;3485;3745;1004;84186;4709;3428;159499;3301;5048;8842;2151;1883;13535;319542;832;1512;9006;21770;6848;10539;6275;7228;9473;22755;8124;20695;8166;3891;9846;39703;2079;176731;1602;11955;4546;3712;3630;921;116622;9662;13513;7350;8289;25136;5062;2762;46682;5450;13029;4532;1949;28024;7045;4182;2027;4562;1666;1267;23545;7073;2300;6371;227936;3016;12392;110379;8610;6545;5330;3686;4573;6521;6143;2451;2399634;15074;2309;80607;8182;1397;3408;21286;9313;29902;20555;2758;67882;596364;11149;2076071;30766;3728;5694;9310;3331;103515;6020;253696;17413;3632;30945;9460;742;6523;11204;375;1432;689;3279;42497;4605;8250;8180;3133;11097;2372;4181;402065;606;51926;2940;2157;1597;2891;1383;6967;3916;1224;3546;5649;3157;5524;8079;10878;955;74131;6737;1210;3986;3517;3244;1825;2813;1753;2319;3362;29580;2520;5081;3690;4486;1692;3309;1512;3136;2509;2082;2822;832;6779125;2208;812;3579;4501;4666;2204;854;731;19286;2164;562;1879;2074;690;1148;1902;1463;14245;1693;1843;3260;4286;35444;4021;1474;1047;769;1833;12204;22934;77889;35794;8166;98578;151787;4341;6868;1773;37440;8315;2963;3823;1291;24810;28975;4212;4378;19301;19301;2795;2670;6269;1563;4570;2999
93;NH24;1448;126.5;BXD73;HF;F;604;4;1705;1138;1489;9369;65330;29385;25384;5748;11134;1079;14857;11759;16700;51172;3305;24997;14789;2587;1858;84296;116071;7810;8333;5164;139460;457271;7191;32498;6405;8485;32278;8074;96084;3914;105050;247948;3474;4482;6532;8221;385053;23641;21646;4732;78243;347952;2790;962719;960;2252;1531;7084;26502;677;165581;3571;7745;56560;5167;11793;1323;1051;13960;1864;21999;1848;771404;217632;64676;275787;42126;8854;11061;3036;12329;3389;6472;333511;14748;2306;9842;760;9073;350018;5510;3025;2478;4847;15903;4227;10191;23474;11587;705;5219;1782;6751;3590;3782;4817;9928;113544;3435;12827;13004;832;41119;151535;28597;6769;116634;19297;5297;2378;189698;5027;4196;7377;10440;19665;1765;6654;12617;6985;4185;16792;6328;7988;1285;8525;2628991;5922;3044;1337;415815;92219;37376;2239;59039;1537;5183;6555;1458;1635;7198;17474;36988;15799;5545;27890;16470;3727;4117;916;79090;5868;1677;349345;3039;2610;7993;1177;1733;5304;160229;779;1193;3811;12399;9480;9593;2789;2715;2604;6273;4216;26880;12320;3835;6073;32576;2578;220137;1096;7446;4110;5075;2781;992;123076;13704;6356;14141;10522;38213;4938;5180;64630;4292;4555;7740;1333;71715;4025;6366;6382;4646;1492;1250;22829;5139;6985;4723;144805;2547;8292;197076;6097;2467;8165;1645;3207;6499;6036;2345;2721751;14856;2166;224563;8313;2742;2510;19090;33460;23376;15096;2052;131477;1840115;3993;1773122;101398;6163;4236;18893;3284;398015;3345;1886663;45173;9298;26479;20875;1029;4534;21785;552;1544;728;3551;229926;3303;36700;28157;4072;8554;1434;1692;1207222;1090;131574;5225;1552;1404;2971;7434;10697;3292;1347;6139;13545;3053;7147;4677;20618;1997;141410;5563;949;6885;2668;3290;12184;3668;1738;1675;7601;98797;2106;3524;2614;7748;2993;2006;1219;3432;3220;1921;1400;1262;22433150;7385;889;17595;13283;9112;2166;708;553;45737;2832;657;2514;3984;569;880;1943;1912;15080;1300;1461;1812;4747;8339;7190;1495;1617;894;1688;30823;94576;199019;72376;34401;691412;774693;9379;17721;3323;43996;20829;2168;3736;1920;55214;58826;7810;2957;20310;20310;2252;2164;9150;3523;4502;3546
94;NH24;1448;126.5;BXD73;HF;F;604;4;1865;1440;1864;7944;68990;28850;27052;6552;13004;1184;13789;12240;18136;50104;4270;25511;14247;1985;1686;85084;118520;7804;8296;5770;142774;446700;6156;32290;5997;8560;35245;7886;98601;4651;107614;246541;3552;4168;6760;8637;404600;27212;21195;4466;78126;346371;2587;986124;823;2183;1698;6880;27483;672;166692;3998;7605;59309;5085;11883;1285;1223;14322;1573;23052;2219;772461;240317;63352;269063;41130;9176;10945;2999;12407;3357;6162;326735;14917;2597;10069;920;8682;358436;5983;3173;2862;5627;16013;4451;10472;22784;11350;925;6588;1783;6960;3527;3944;4845;10211;115537;4031;12483;12408;1028;39585;153455;25448;6278;120082;19260;4793;2022;189387;5282;4934;7377;9774;20544;1399;6548;11526;7137;4705;15790;6473;8099;1723;7978;2599025;5541;2923;1298;420672;91887;40401;2066;59667;1880;4756;6777;1728;1278;7362;16693;36731;15444;5544;29002;18043;2968;4722;733;73936;5144;1899;342364;3019;2866;7244;1601;2010;5393;159731;548;1279;4133;13115;9089;8861;2792;2368;2627;6072;4376;25912;12282;3469;5459;33244;2027;221075;1137;6749;3992;5497;3070;888;120689;15173;5871;13625;9980;38908;5058;4390;60691;4279;4733;7449;1913;70910;3929;5624;6415;4476;1689;1052;22604;5259;7419;4835;149083;2323;9150;194353;5578;1952;8858;1523;3200;6374;6555;2897;2674210;13287;2186;228085;8214;3052;2557;19829;33945;22691;15713;1761;116574;1731855;3882;1780949;104464;6793;4387;19434;3662;376871;4205;1892071;43588;9301;25091;19338;1071;4172;20561;611;1683;744;4364;218180;3726;34866;27833;3692;8799;1215;1836;1240149;1245;134457;5219;1394;1661;3127;7010;10071;3403;1191;6460;13301;2757;8663;5290;22214;2177;143697;5037;1270;7816;2303;3107;11047;3742;1738;1916;7855;102499;1946;2995;2681;7065;2837;2332;1798;3809;2599;1880;1444;1360;22647446;8495;613;17613;12435;9008;1844;939;609;47696;2847;755;2897;4034;574;827;2633;1825;14612;1387;1097;1465;4777;8322;6257;1658;1788;912;1452;32417;94750;199801;71873;34203;676495;768886;9008;18076;3413;42616;22030;2147;3813;1826;53624;57208;7947;2710;21142;21142;2230;2106;9078;3371;4911;3487
95;NH24;771;118;BXD29;CD;F;225;1;20199;2121;3211;8140;88325;27205;36437;7772;13778;2819;14515;8665;19763;51498;7415;28455;13686;2715;1097;82711;106350;7419;20247;8994;128357;763007;6269;40707;5156;11065;22236;6219;28220;4199;137389;254004;5992;6018;14727;20774;309463;21429;21307;6155;95765;292776;4174;688785;731;1935;1798;7297;27587;934;152784;6959;13891;39949;5783;13668;1034;1336;104251;3558;37499;3444;1037979;171937;54758;269113;50297;11378;12265;2182;16861;4339;6072;202974;10548;6726;8910;1516;12281;257894;6431;7493;2401;8452;19061;3967;10772;19799;51527;774;6661;2287;6113;4145;4499;6433;12055;95362;5880;10691;13207;1164;6665;93026;19146;11667;365986;51171;6682;1731;29937;6515;9884;10905;13580;18528;3785;31024;18245;3588;7396;15095;17321;9813;2492;12536;2386427;4100;5212;1626;444052;69542;30330;2962;70772;13146;6799;6515;2073;1458;15313;60730;37104;13977;15461;40265;20828;3952;4006;901;104822;9624;3143;718464;3330;5034;7149;1681;2747;13912;145504;581;3999;4598;16719;9526;10617;2645;4254;5948;12226;8424;4044;17611;4532;5751;39146;2580;486020;1960;10210;4707;5042;10495;1057;89584;15237;11188;10071;11775;22414;8939;6586;71060;6242;11645;5413;2420;51981;3899;8270;1965;9809;2708;4996;23821;5655;19424;6384;194787;9707;12228;179517;5863;9874;7104;3638;5446;5764;12093;3906;2600218;28819;3589;274025;14387;2779;3304;16740;42937;52456;33004;7922;349123;2629256;10129;1790435;87619;3430;10002;25526;4342;313455;9652;2236612;28830;9881;25804;39713;1286;15983;28536;575;2100;1124;4271;208141;6101;37354;19303;4451;10121;2063;12255;385988;881;84197;5777;2321;3422;8040;4680;19729;7577;1631;7293;13116;2430;8785;20504;39535;2294;1414430;15090;2508;6027;3717;3196;8668;6645;2796;4450;3365;118146;5070;7150;2863;10636;3496;2749;3591;3587;3241;4202;8757;2104;17244332;4354;1002;15137;12543;9693;2573;1200;968;113510;3960;1550;3668;4524;1031;2075;3093;4076;6553;3587;3496;3981;5544;30679;8210;3771;3191;1871;2266;116074;198924;536281;101973;29637;913184;964172;28729;26110;4632;92091;28875;3297;7369;2712;54232;51029;10394;4007;6330;35966;4269;2709;11716;2100;7055;4884
